MRF_Province,MRF_District,MRF_Facility,Facility_datim,TX_CURR _datim,TX_CURR _mrf,concordance,Province,District,Facility Name,Source
Masvingo,Zaka,Musiso,Musiso - 101153 - Mission Hospital,8.0,1691.0,0.0%,Masvingo,Zaka,Musiso - 101153 - Mission Hospital,Mobile
Masvingo,Zaka,Ndanga,Ndanga - 101210 - Hospital,263.0,2815.0,9.0%,Masvingo,Zaka,Ndanga - 101210 - Hospital,Mobile
Masvingo,Zaka,Svuure Rural Health Centre,Svuvure - 101665 - Rural Health Hospital,428.0,529.0,80.0%,Masvingo,Zaka,Svuvure - 101665 - Rural Health Hospital,Mobile
Matabeleland North,Bubi,Membeswana Rural Health Centre,Mbembeswana - 100990 - RHC,623,732,85.0%,Mat. North,Bubi,Mbembeswana - 100990 - RHC,Mobile
Matabeleland North,Lupane,Lupane Rural Health Centre,Lupane - 100781 - Rural Health Centre,1937.0,1904.0,98.0%,Mat. North,Lupane,Lupane - 100781 - Rural Health Centre,Mobile
Matabeleland North,Nkayi,Dakamela Rural,Dakamela - 100357 - Rural Hospital,512.0,875.0,58.0%,Mat. North,Nkayi,Dakamela - 100357 - Rural Hospital,Mobile
Matabeleland North,Nkayi,Nkayi,Nkayi - 101275 - District Hospital,616,1530,40.0%,Mat. North,Nkayi,Nkayi - 101275 - District Hospital,Mobile
Matabeleland North,Umguza,Mbembesi Rural health Centre,Mbembesi - 100989 - Rural Health Centre,827,1076,76.0%,Mat. North,Umguza,Mbembesi - 100989 - Rural Health Centre,Mobile
Matabeleland North,Umguza,Nyamandlovu,Nyamandlovu - 101332 - Hospital,996,1111,89.0%,Mat. North,Umguza,Nyamandlovu - 101332 - Hospital,Mobile
Matabeleland North,Umguza,Redwood,Redwood - 101447 - Clinic,130,651,19.0%,Mat. North,Umguza,Redwood - 101447 - Clinic,Mobile
Matabeleland South,Beitbridge,Dulibadzimu,Dulibadzimu - 100423 - Clinic,1817,1722,94.0%,Mat. South,Beitbridge,Dulibadzimu - 100423 - Clinic,Mobile
Matabeleland South,Beitbridge,Mtetengwe,Mtetengwe - 101069 - Clinic,806,853,94.0%,Mat. South,Beitbridge,Mtetengwe - 101069 - Clinic,Mobile
Matabeleland South,Beitbridge,Zezani,Zezane - 101787 - Clinic,981.0,1202.0,81.0%,Mat. South,Beitbridge,Zezane - 101787 - Clinic,Mobile
Matabeleland South,Bulilima,Lady Barring Rural,Lady Barring - 100755 - Mission Hospital,757.0,765.0,98.0%,Mat. South,Bulilima,Lady Barring - 100755 - Mission Hospital,Mobile
Matabeleland South,Bulilima,Ndiweni,Ndiweni - 101211 - Clinic,797.0,785.0,98.0%,Mat. South,Bulilima,Ndiweni - 101211 - Clinic,Mobile
Matabeleland South,Bulilima,Sikhathini,Sikhatini - 101585 - Clinic,793.0,811.0,97.0%,Mat. South,Bulilima,Sikhatini - 101585 - Clinic,Mobile
Matabeleland South,Gwanda,Manama,Manama - 100867 - Mission Hospital,668,1001,66.0%,Mat. South,Gwanda,Manama - 100867 - Mission Hospital,Mobile
Matabeleland South,Gwanda,Selonga,Selonga - 101536 - Rural Health Centre,815.0,946.0,86.0%,Mat. South,Gwanda,Selonga - 101536 - Rural Health Centre,Mobile
Matabeleland South,Insiza,Nkankezi Rural Health Centre,Nkankezi - 101274 - Rural Health Centre,1302.0,1200.0,92.0%,Mat. South,Insiza,Nkankezi - 101274 - Rural Health Centre,Mobile
Matabeleland South,Insiza,Shangani,Shangani - 101557 - Rural Hospital,775,1619,47.0%,Mat. South,Insiza,Shangani - 101557 - Rural Hospital,Mobile
Matabeleland South,Insiza,Singwango,Singwango - 101603 - Clinic,913.0,953.0,95.0%,Mat. South,Insiza,Singwango - 101603 - Clinic,Mobile
Matabeleland South,Insiza,Zhulube,Zhulube - 101793 - Clinic,825.0,1153.0,71.0%,Mat. South,Insiza,Zhulube - 101793 - Clinic,Mobile
Matabeleland South,Mangwe,Bango Rural Health Centre,Bango - 100042 - Clinic,595.0,601.0,99.0%,Mat. South,Mangwe,Bango - 100042 - Clinic,Mobile
Matabeleland South,Mangwe,Dingumuzi,Dingumuzi - 100394 - Clinic,600.0,677.0,88.0%,Mat. South,Mangwe,Dingumuzi - 100394 - Clinic,Mobile
Matabeleland South,Mangwe,Ingwizi Rural Health Centre,Ingwizi - 100639 - Clinic,1145.0,1311.0,87.0%,Mat. South,Mangwe,Ingwizi - 100639 - Clinic,Mobile
Matabeleland South,Mangwe,Sanzukwi,SANZUKWI - 101529 - Clinic,644.0,691.0,93.0%,Mat. South,Mangwe,SANZUKWI - 101529 - Clinic,Mobile
Matabeleland South,Mangwe,St Annes Mission Hospital (Brunapeg),St. Annes Brunapeg - 101642 - Mission,722,943,76.0%,Mat. South,Mangwe,St. Annes Brunapeg - 101642 - Mission,Mobile
Matabeleland South,Mangwe,Tshitshi,Tshitshi - 101712 - Clinic,875.0,940.0,93.0%,Mat. South,Mangwe,Tshitshi - 101712 - Clinic,Mobile
Matabeleland South,Matobo,Kezi Rural,Kezi - 100732 - Rural Hospital,1064,1145,92.0%,Mat. South,Matobo,Kezi - 100732 - Rural Hospital,Mobile
Matabeleland South,Matobo,Matopo Rural,Matobo Rural - 100957 - Rural Hospital,247,270,91.0%,Mat. South,Matobo,Matobo Rural - 100957 - Rural Hospital,Mobile
Matabeleland South,Matobo,Natisa Rural Health Centre,Natisa - 101208 - Rural Health Centre,757.0,780.0,97.0%,Mat. South,Matobo,Natisa - 101208 - Rural Health Centre,Mobile
Matabeleland South,Matobo,St Joseph's,St. Joseph's - 101644 - Rural Hospital,952,936,98.0%,Mat. South,Matobo,St. Joseph's - 101644 - Rural Hospital,Mobile
Matabeleland South,Matobo,Tshelanyemba,Tshelanyemba - 101711 - Mission Hospital,256,1605,15.0%,Mat. South,Matobo,Tshelanyemba - 101711 - Mission Hospital,Mobile
Matabeleland South,Umzingwane,Habane,Habani - 100578 - Clinic,226,543,41.0%,Mat. South,Umzingwane,Habani - 100578 - Clinic,Mobile
Matabeleland South,Umzingwane,How Mine,How Mine - 100610 - Mine Clinic,353,378,93.0%,Mat. South,Umzingwane,How Mine - 100610 - Mine Clinic,Mobile
Matabeleland South,Umzingwane,Mawabeni,Mawabeni - 100969 - Clinic,1004,824,82.0%,Mat. South,Umzingwane,Mawabeni - 100969 - Clinic,Mobile
Matabeleland South,Umzingwane,Nhlangano,Nhlangano - 101269 - Clinic,716,720,99.0%,Mat. South,Umzingwane,Nhlangano - 101269 - Clinic,Mobile
Matabeleland South,Umzingwane,Ntshamathe,Ntshamathe - 101304 - Clinic,259,449,57.0%,Mat. South,Umzingwane,Ntshamathe - 101304 - Clinic,Mobile
Matabeleland South,Umzingwane,Mzingwane RHC,Umzingwane - 101725 - Clinic,269,357,75.0%,Mat. South,Umzingwane,Umzingwane - 101725 - Clinic,Mobile
Matabeleland South,Umzingwane,Zimbili,Zimbili - 101911 - Clinic,216,227,95.0%,Mat. South,Umzingwane,Zimbili - 101911 - Clinic,Mobile
Midlands,Gweru,Somabhula,Somabula - 101613 - Clinic,380.0,354,93.0%,Midlands,Gweru,Somabula - 101613 - Clinic,Mobile
Midlands,Kwekwe,Sherwood,Sherwood - 101561 - Clinic,531.0,773.0,68.0%,Midlands,Kwekwe,Sherwood - 101561 - Clinic,Mobile
,,,,,,,,,,
