Province,District,Facility,TX_CURR ,,,,,,,,,,
Manicaland,Chimanimani,Roscommon,52,,,,,,,,,,
Manicaland,Chimanimani,Runyararo,21,,,,,,,,,,
Manicaland,Chimanimani,Rusitu,445,,,,,,,,,,
Manicaland,Chimanimani,Saziya,3,,,,,,,,,,
Manicaland,Chimanimani,Shinja,97,,,,,,,,,,
Manicaland,Chimanimani,Tarka,0,,,,,,,,,,
Manicaland,Chimanimani,Thornton,0,,,,,,,,,,
Manicaland,Chimanimani,Tilbury,78,,,,,,,,,,
Manicaland,Chimanimani,Vimba,57,,,,,,,,,,
Manicaland,Chipinge,Arda Chisumbanje,264,,,,,,,,,,
Manicaland,Chipinge,Changazi,0,,,,,,,,,,
Manicaland,Chipinge,Chibuwe,937,,,,,,,,,,
Manicaland,Chipinge,Chichichi,134,,,,,,,,,,
Manicaland,Chipinge,Chikore,548,,,,,,,,,,
Manicaland,Chipinge,Chinyamukwakwa,0,,,,,,,,,,
Manicaland,Chipinge,Chinyamukwakwa CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Chinyamukwakwa Rural Health Centre,429,,,,,,,,,,
Manicaland,Chipinge,Chipangayi,219,,,,,,,,,,
Manicaland,Chipinge,Chipinge,1851,,,,,,,,,,
Manicaland,Chipinge,Chipinge District Hospital CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Chipinge Town,1831,,,,,,,,,,
Manicaland,Chipinge,Chipinge Town CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Chipinge ZRP,0,,,,,,,,,,
Manicaland,Chipinge,Chiriga,435,,,,,,,,,,
Manicaland,Chipinge,Chisuma,332,,,,,,,,,,
Manicaland,Chipinge,Clearwater,325,,,,,,,,,,
Manicaland,Chipinge,Clearwater CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Gaza,1320,,,,,,,,,,
Manicaland,Chipinge,Gumira,294,,,,,,,,,,
Manicaland,Chipinge,Gwenzi,491,,,,,,,,,,
Manicaland,Chipinge,Hwakwata,279,,,,,,,,,,
Manicaland,Chipinge,Jersey,178,,,,,,,,,,
Manicaland,Chipinge,Junction Gate,506,,,,,,,,,,
Manicaland,Chipinge,Kondo,638,,,,,,,,,,
Manicaland,Chipinge,Kondo CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Kopera Rural Health Centre,312,,,,,,,,,,
Manicaland,Chipinge,Lamont,69,,,,,,,,,,
Manicaland,Chipinge,Mabee Rural Health Centre,397,,,,,,,,,,
Manicaland,Chipinge,Madhuku,420,,,,,,,,,,
Manicaland,Chipinge,Mahenye Rural Health Centre,216,,,,,,,,,,
Manicaland,Chipinge,Manzvire,366,,,,,,,,,,
Manicaland,Chipinge,Maparadza,180,,,,,,,,,,
Manicaland,Chipinge,Midsave,171,,,,,,,,,,
Manicaland,Chipinge,Midsave CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Mount Selinda,1013,,,,,,,,,,
Manicaland,Chipinge,Musani,155,,,,,,,,,,
Manicaland,Chipinge,Musilizwe Rural Health Centre,246,,,,,,,,,,
Manicaland,Chipinge,Muswera Rural,327,,,,,,,,,,
Manicaland,Chipinge,Mutandahwe,339,,,,,,,,,,
Manicaland,Chipinge,Mutema,373,,,,,,,,,,
Manicaland,Chipinge,New Start Centre,0,,,,,,,,,,
Manicaland,Chipinge,New Year's Gift,90,,,,,,,,,,
Manicaland,Chipinge,Ngaone,203,,,,,,,,,,
Manicaland,Chipinge,Nyunga,118,,,,,,,,,,
Manicaland,Chipinge,Paidamoyo Rural Health Centre,496,,,,,,,,,,
Manicaland,Chipinge,Ratelshoek,185,,,,,,,,,,
Manicaland,Chipinge,Rimbi,863,,,,,,,,,,
Manicaland,Chipinge,Silver Stream,130,,,,,,,,,,
Manicaland,Chipinge,Southdown,235,,,,,,,,,,
Manicaland,Chipinge,St Peters,2254,,,,,,,,,,
Manicaland,Chipinge,St Peters Hospital CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Tamandayi,223,,,,,,,,,,
Manicaland,Chipinge,Tanganda CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Tanganda Rural,0,,,,,,,,,,
Manicaland,Chipinge,Tanganda Rural Health Centre,429,,,,,,,,,,
Manicaland,Chipinge,Tingamira,89,,,,,,,,,,
Manicaland,Chipinge,Tongogara Rural Health Centre,125,,,,,,,,,,
Manicaland,Chipinge,Tuzuka,188,,,,,,,,,,
Manicaland,Chipinge,Veneka,446,,,,,,,,,,
Manicaland,Chipinge,ZPS Chipinge Prison,230,,,,,,,,,,
Manicaland,Chipinge,ZPS Chipinge Prison CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Chipinge,Zamuchiya,435,,,,,,,,,,
Manicaland,Chipinge,Zona,102,,,,,,,,,,
Manicaland,Makoni,Arnoldine Mission,376,,,,,,,,,,
Manicaland,Makoni,Bamba Rural Health Centre,186,,,,,,,,,,
Manicaland,Makoni,Chiduku,203,,,,,,,,,,
Manicaland,Makoni,Chikobvore Rural Health Centre,236,,,,,,,,,,
Manicaland,Makoni,Chikore,245,,,,,,,,,,
Manicaland,Makoni,Chinhenga Rural Health Centre,289,,,,,,,,,,
Manicaland,Makoni,Chinyadza,315,,,,,,,,,,
Manicaland,Makoni,Chinyika 1 Rural Health Centre,232,,,,,,,,,,
Manicaland,Makoni,Chinyika 2 Rural Health Centre,133,,,,,,,,,,
Manicaland,Makoni,Chinyudze Rural Health Centre,398,,,,,,,,,,
Manicaland,Makoni,Chitungwiza,262,,,,,,,,,,
Manicaland,Makoni,Dowa,173,,,,,,,,,,
Manicaland,Makoni,Dumbabwe,221,,,,,,,,,,
Manicaland,Makoni,Era Mine,301,,,,,,,,,,
Manicaland,Makoni,Gowakowa Rural Health Centre,133,,,,,,,,,,
Manicaland,Makoni,Groobi Spring Rural Health Centre,222,,,,,,,,,,
Manicaland,Makoni,Headlands,1664,,,,,,,,,,
Manicaland,Makoni,Headlands CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Makoni,Katsenga Rural Health Centre,366,,,,,,,,,,
Manicaland,Makoni,Mabvazuva,194,,,,,,,,,,
Manicaland,Makoni,Makoni Rural,835,,,,,,,,,,
Manicaland,Makoni,Maparura Rural Health Centre,159,,,,,,,,,,
Manicaland,Makoni,Masvosva Rural Health Centre,463,,,,,,,,,,
Manicaland,Makoni,Matotwe Rural Health Centre,149,,,,,,,,,,
Manicaland,Makoni,Matsika,367,,,,,,,,,,
Manicaland,Makoni,Maurice Nyagumbo,409,,,,,,,,,,
Manicaland,Makoni,Mavhudzi,0,,,,,,,,,,
Manicaland,Makoni,Mayo 1 Rural Health Centre,477,,,,,,,,,,
Manicaland,Makoni,Mayo 2 Rural Health Centre,329,,,,,,,,,,
Manicaland,Makoni,Mubvurungwa,409,,,,,,,,,,
Manicaland,Makoni,Mufusire,509,,,,,,,,,,
Manicaland,Makoni,Mukamba,273,,,,,,,,,,
Manicaland,Makoni,Mukuwapasi Rehab,152,,,,,,,,,,
Manicaland,Makoni,Name,356,,,,,,,,,,
Manicaland,Makoni,Nedewedzo Rural,617,,,,,,,,,,
Manicaland,Makoni,Nedziwa,300,,,,,,,,,,
Manicaland,Makoni,Nyahowe Rural Health Centre,111,,,,,,,,,,
Manicaland,Makoni,Nyahukwe Rural Health Centre,326,,,,,,,,,,
Manicaland,Makoni,Nyamidzi,554,,,,,,,,,,
Manicaland,Makoni,Nyamukamani Rural Health Centre,223,,,,,,,,,,
Manicaland,Makoni,Nyamusosa,229,,,,,,,,,,
Manicaland,Makoni,Nyazura,693,,,,,,,,,,
Manicaland,Makoni,Nyazura CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Makoni,Nyazura Mission,597,,,,,,,,,,
Manicaland,Makoni,Nzvimbe,147,,,,,,,,,,
Manicaland,Makoni,Ringanayi,82,,,,,,,,,,
Manicaland,Makoni,Rukweza,784,,,,,,,,,,
Manicaland,Makoni,Rukweza CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Makoni,Rusape,2215,,,,,,,,,,
Manicaland,Makoni,Rusape ZRP,0,,,,,,,,,,
Manicaland,Makoni,Sangano,441,,,,,,,,,,
Manicaland,Makoni,St Michael's,0,,,,,,,,,,
Manicaland,Makoni,St Michael's CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Makoni,St Michael's Tanda,356,,,,,,,,,,
Manicaland,Makoni,St Therese's,498,,,,,,,,,,
Manicaland,Makoni,Tandi,659,,,,,,,,,,
Manicaland,Makoni,Tandi CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Makoni,Toriro,369,,,,,,,,,,
Manicaland,Makoni,Tsanzaguru,973,,,,,,,,,,
Manicaland,Makoni,Tsanzaguru Cesshar Sisters,0,,,,,,,,,,
Manicaland,Makoni,Tsikada Rural Health Center,72,,,,,,,,,,
Manicaland,Makoni,Vengere,2591,,,,,,,,,,
Manicaland,Makoni,Vengere CeSHHAR Mobile Sisters,0,,,,,,,,,,
Manicaland,Makoni,Weya Rural,1122,,,,,,,,,,
Manicaland,Makoni,ZPS Little Kraal Prison,22,,,,,,,,,,
Manicaland,Makoni,ZPS Rusape Prison,0,,,,,,,,,,
Manicaland,Makoni,Zunhidza,268,,,,,,,,,,
Manicaland,Mutare,3 Field Ambulance Company,0,,,,,,,,,,
Manicaland,Mutare,Arda Odzi,244,,,,,,,,,,
Manicaland,Mutare,Army Dependent,0,,,,,,,,,,
Manicaland,Mutare,Bakorenhema,309,,,,,,,,,,
Manicaland,Mutare,Bezely Bridge,355,,,,,,,,,,
Manicaland,Mutare,Burma Valley,492,,,,,,,,,,
Manicaland,Mutare,Bwizi Rural Health Centre,200,,,,,,,,,,
Manicaland,Mutare,Chiadzwa Rural Health Centre,293,,,,,,,,,,
Manicaland,Mutare,Chikanga,1094,,,,,,,,,,
Manicaland,Mutare,Chikwariro,303,,,,,,,,,,
Manicaland,Mutare,Chinyamazizi,24,,,,,,,,,,
Manicaland,Mutare,Chipendeke,115,,,,,,,,,,
Manicaland,Mutare,Chipfatsura,320,,,,,,,,,,
Manicaland,Mutare,Chishingwi,196,,,,,,,,,,
Manicaland,Mutare,Chitaka,261,,,,,,,,,,
Manicaland,Mutare,Chitakatira,996,,,,,,,,,,
Manicaland,Mutare,Chitakatira CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Mutare,Chitora,170,,,,,,,,,,
Manicaland,Mutare,Chiwere,296,,,,,,,,,,
Manicaland,Mutare,Dangamvura,2119,,,,,,,,,,
Manicaland,Mutare,Dora,491,,,,,,,,,,
Manicaland,Mutare,Dora CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Mutare,Fern Valley,104,,,,,,,,,,
Manicaland,Mutare,Florida,362,,,,,,,,,,
Manicaland,Mutare,Forbes Boarder,238,,,,,,,,,,
Manicaland,Mutare,Forbes Boarder CeSHHAR Mobile Sister's,37,,,,,,,,,,
Manicaland,Mutare,Gimboki,38,,,,,,,,,,
Manicaland,Mutare,Gutaurare Rural Health Centre,205,,,,,,,,,,
Manicaland,Mutare,Gwindingwi Rural Health Centre,166,,,,,,,,,,
Manicaland,Mutare,Hob House,583,,,,,,,,,,
Manicaland,Mutare,Leekuil Takunda,358,,,,,,,,,,
Manicaland,Mutare,Madanga,9,,,,,,,,,,
Manicaland,Mutare,Mambwere,221,,,,,,,,,,
Manicaland,Mutare,Mapofu,0,,,,,,,,,,
Manicaland,Mutare,Marange Rural,953,,,,,,,,,,
Manicaland,Mutare,Masasi,227,,,,,,,,,,
Manicaland,Mutare,Matanda,446,,,,,,,,,,
Manicaland,Mutare,Mavhiza,250,,,,,,,,,,
Manicaland,Mutare,Mkwada,242,,,,,,,,,,
Manicaland,Mutare,Mount Zuma,342,,,,,,,,,,
Manicaland,Mutare,Munyarari,446,,,,,,,,,,
Manicaland,Mutare,Murambi Gardens,0,,,,,,,,,,
Manicaland,Mutare,Muromo Rural Health Centre,358,,,,,,,,,,
Manicaland,Mutare,Murowa Rural Health Centre,0,,,,,,,,,,
Manicaland,Mutare,Mushunje,367,,,,,,,,,,
Manicaland,Mutare,Mutare City,0,,,,,,,,,,
Manicaland,Mutare,Mutare City Health,1475,,,,,,,,,,
Manicaland,Mutare,Mutare Infectious Disease,0,,,,,,,,,,
Manicaland,Mutare,Mutare Population Services Zimbabwe Centre,0,,,,,,,,,,
Manicaland,Mutare,Mutare ZNFPC,0,,,,,,,,,,
Manicaland,Mutare,Mutare ZRP,0,,,,,,,,,,
Manicaland,Mutare,New Start Centre,1837,,,,,,,,,,
Manicaland,Mutare,Nyagundi Rural Health Centre,429,,,,,,,,,,
Manicaland,Mutare,Nyamazura Rural Health Centre,453,,,,,,,,,,
Manicaland,Mutare,Nzvenga,304,,,,,,,,,,
Manicaland,Mutare,Odzi,939,,,,,,,,,,
Manicaland,Mutare,Odzi CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Mutare,Rowa,323,,,,,,,,,,
Manicaland,Mutare,Sakubva,4674,,,,,,,,,,
Manicaland,Mutare,Sakubva Health Centre,0,,,,,,,,,,
Manicaland,Mutare,St Andrew's,443,,,,,,,,,,
Manicaland,Mutare,St Josephs',2639,,,,,,,,,,
Manicaland,Mutare,St Werburghs,275,,,,,,,,,,
Manicaland,Mutare,St Werburghs CeSHHAR Mobile Sister's,0,,,,,,,,,,
Manicaland,Mutare,Victoria Chitepo,1975,,,,,,,,,,
Manicaland,Mutare,Vumba,128,,,,,,,,,,
Manicaland,Mutare,ZPS MUTARE REMAND PRISON,0,,,,,,,,,,
Manicaland,Mutare,ZPS Mutare Prison Farm,136,,,,,,,,,,
Manicaland,Mutare,ZPS Mutare Remand Prison,0,,,,,,,,,,
Manicaland,Mutare,ZRP Mutare Provincial,0,,,,,,,,,,
Manicaland,Mutare,Zimunya,999,,,,,,,,,,
Manicaland,Mutare,Zumbare,136,,,,,,,,,,
Manicaland,Mutare,Zvipiripiri Rural Health Centre,348,,,,,,,,,,
Manicaland,Mutasa,Bonda,626,,,,,,,,,,
Manicaland,Mutasa,Chavhanga Rural Health Centre,87,,,,,,,,,,
Manicaland,Mutasa,Chinaka Health Post,222,,,,,,,,,,
Manicaland,Mutasa,Chinamasa,140,,,,,,,,,,
Manicaland,Mutasa,Chitombo,207,,,,,,,,,,
Manicaland,Mutasa,Drenane,31,,,,,,,,,,
Manicaland,Mutasa,Eastern Highlands Plantation,138,,,,,,,,,,
Manicaland,Mutasa,Gatsi Mission,243,,,,,,,,,,
Manicaland,Mutasa,Guta,200,,,,,,,,,,
Manicaland,Mutasa,Haparari,92,,,,,,,,,,
Manicaland,Mutasa,Hauna,1527,,,,,,,,,,
Manicaland,Mutasa,Hawling health post,98,,,,,,,,,,
Manicaland,Mutasa,Honde Mission,217,,,,,,,,,,
Manicaland,Mutasa,Imbeza,26,,,,,,,,,,
Manicaland,Mutasa,Jombe,311,,,,,,,,,,
Manicaland,Mutasa,Katiyo Tea Estate,140,,,,,,,,,,
Manicaland,Mutasa,Kubatana health post,145,,,,,,,,,,
Manicaland,Mutasa,Magadzire health post,20,,,,,,,,,,
Manicaland,Mutasa,Mandeya II,106,,,,,,,,,,
Manicaland,Mutasa,Mapara,134,,,,,,,,,,
Manicaland,Mutasa,Mpotedzi,176,,,,,,,,,,
Manicaland,Mutasa,Mt Jenya,92,,,,,,,,,,
Manicaland,Mutasa,Mutasa,476,,,,,,,,,,
Manicaland,Mutasa,Mwoyoweshumba,167,,,,,,,,,,
Manicaland,Mutasa,Ngarura,171,,,,,,,,,,
Manicaland,Mutasa,Nyamukwarara RDC,57,,,,,,,,,,
Manicaland,Mutasa,Old Mutare,1030,,,,,,,,,,
Manicaland,Mutasa,Premier Central,230,,,,,,,,,,
Manicaland,Mutasa,Redwing,173,,,,,,,,,,
Manicaland,Mutasa,Rupinda Rural Health Centre,143,,,,,,,,,,
Manicaland,Mutasa,Sachisuko,272,,,,,,,,,,
Manicaland,Mutasa,Sadziwa,208,,,,,,,,,,
Manicaland,Mutasa,Sagambe,230,,,,,,,,,,
Manicaland,Mutasa,Sahumani,199,,,,,,,,,,
Manicaland,Mutasa,Sakupwanya,552,,,,,,,,,,
Manicaland,Mutasa,Samanga,185,,,,,,,,,,
Manicaland,Mutasa,Samaringa,229,,,,,,,,,,
Manicaland,Mutasa,Selbourne/Nyanga Pine,147,,,,,,,,,,
Manicaland,Mutasa,Sheba,63,,,,,,,,,,
Manicaland,Mutasa,Sherukuru Rural Health Centre,386,,,,,,,,,,
Manicaland,Mutasa,St Augustine's,708,,,,,,,,,,
Manicaland,Mutasa,St Barbara,151,,,,,,,,,,
Manicaland,Mutasa,St Peter's Mandeya Mission,359,,,,,,,,,,
Manicaland,Mutasa,Triashill,218,,,,,,,,,,
Manicaland,Mutasa,Tsonzo Rural,533,,,,,,,,,,
Manicaland,Mutasa,Tsvingwe RDC,468,,,,,,,,,,
Manicaland,Mutasa,Zindi,543,,,,,,,,,,
Manicaland,Mutasa,Zongoro,590,,,,,,,,,,
Manicaland,Nyanga,Avilla,433,,,,,,,,,,
Manicaland,Nyanga,Bende,89,,,,,,,,,,
Manicaland,Nyanga,Chatindo,146,,,,,,,,,,
Manicaland,Nyanga,Chiwarira,179,,,,,,,,,,
Manicaland,Nyanga,Claremont Estate,102,,,,,,,,,,
Manicaland,Nyanga,Dazi,27,,,,,,,,,,
Manicaland,Nyanga,Dombo Rural Health Centre,154,,,,,,,,,,
Manicaland,Nyanga,Elim,623,,,,,,,,,,
Manicaland,Nyanga,Erin Forest Estate,84,,,,,,,,,,
Manicaland,Nyanga,Fombe Rural Health Centre,170,,,,,,,,,,
Manicaland,Nyanga,Gairezi Rural Health Centre,85,,,,,,,,,,
Manicaland,Nyanga,Gotekote Rural Health Centre,245,,,,,,,,,,
Manicaland,Nyanga,Kambudzi,299,,,,,,,,,,
Manicaland,Nyanga,Mapako,84,,,,,,,,,,
Manicaland,Nyanga,Matize Rural Health Centre,159,,,,,,,,,,
Manicaland,Nyanga,Mount Melleray,243,,,,,,,,,,
Manicaland,Nyanga,Mukunza,75,,,,,,,,,,
Manicaland,Nyanga,Munemo,75,,,,,,,,,,
Manicaland,Nyanga,Nyadowa,77,,,,,,,,,,
Manicaland,Nyanga,Nyafaru,94,,,,,,,,,,
Manicaland,Nyanga,Nyajezi,196,,,,,,,,,,
Manicaland,Nyanga,Nyamaropa,228,,,,,,,,,,
Manicaland,Nyanga,Nyamombe,193,,,,,,,,,,
Manicaland,Nyanga,Nyamombe Camp Rural Health Centre,0,,,,,,,,,,
Manicaland,Nyanga,Nyanga,1618,,,,,,,,,,
Manicaland,Nyanga,Nyanguai,0,,,,,,,,,,
Manicaland,Nyanga,Nyangui,0,,,,,,,,,,
Manicaland,Nyanga,Nyarumvurwe Rural Health Centre,317,,,,,,,,,,
Manicaland,Nyanga,Nyatate,316,,,,,,,,,,
Manicaland,Nyanga,Nyautare Rural Health Centre,226,,,,,,,,,,
Manicaland,Nyanga,Regina Coeli,589,,,,,,,,,,
Manicaland,Nyanga,Ruchera Rural Health Centre,191,,,,,,,,,,
Manicaland,Nyanga,Sabvure,96,,,,,,,,,,
Manicaland,Nyanga,Spring Valley,169,,,,,,,,,,
Manicaland,Nyanga,Tombo,474,,,,,,,,,,
Mashonaland Central,Bindura,BUCSE,0,,,,,,,,,,
Mashonaland Central,Bindura,Bindura,624,,,,,,,,,,
Mashonaland Central,Bindura,Bindura CeSHHAR Mobile Sister’s,0,,,,,,,,,,
Mashonaland Central,Bindura,Bindura Farm Health Scheme,0,,,,,,,,,,
Mashonaland Central,Bindura,Bindura Polyclinic,0,,,,,,,,,,
Mashonaland Central,Bindura,Bindura ZNFPC,0,,,,,,,,,,
Mashonaland Central,Bindura,Bindura ZRP,72,,,,,,,,,,
Mashonaland Central,Bindura,Chipadze,3762,,,,,,,,,,
Mashonaland Central,Bindura,Chipindura High,0,,,,,,,,,,
Mashonaland Central,Bindura,Chiriseri,317,,,,,,,,,,
Mashonaland Central,Bindura,Chiveso Rural Health Centre,558,,,,,,,,,,
Mashonaland Central,Bindura,Chiwaridzo,2169,,,,,,,,,,
Mashonaland Central,Bindura,Foothills,904,,,,,,,,,,
Mashonaland Central,Bindura,Freda Rebecca,83,,,,,,,,,,
Mashonaland Central,Bindura,Glamorgan,356,,,,,,,,,,
Mashonaland Central,Bindura,Hope Bindura New Start Centre,0,,,,,,,,,,
Mashonaland Central,Bindura,Katanya,281,,,,,,,,,,
Mashonaland Central,Bindura,Manga Rural Health Centre,216,,,,,,,,,,
Mashonaland Central,Bindura,Manhenga,1689,,,,,,,,,,
Mashonaland Central,Bindura,Muonwe Rural Health Centre,365,,,,,,,,,,
Mashonaland Central,Bindura,Mupandira Rural Health Centre,549,,,,,,,,,,
Mashonaland Central,Bindura,Muyambuka,272,,,,,,,,,,
Mashonaland Central,Bindura,Nyava,702,,,,,,,,,,
Mashonaland Central,Bindura,Ponai Private,0,,,,,,,,,,
Mashonaland Central,Bindura,Rusununguko,656,,,,,,,,,,
Mashonaland Central,Bindura,Rutope,1120,,,,,,,,,,
Mashonaland Central,Bindura,Shashi Private,0,,,,,,,,,,
Mashonaland Central,Bindura,Shashi View Medical Center,0,,,,,,,,,,
Mashonaland Central,Bindura,Takunda Rural Health Centre,378,,,,,,,,,,
Mashonaland Central,Bindura,Tarlington,178,,,,,,,,,,
Mashonaland Central,Bindura,Trojan Nickel,338,,,,,,,,,,
Mashonaland Central,Bindura,ZPS Bindura Prison,103,,,,,,,,,,
Mashonaland Central,Centenary,Always,290,,,,,,,,,,
Mashonaland Central,Centenary,Chadereka Rural Health Centre,451,,,,,,,,,,
Mashonaland Central,Centenary,Chawarura Rural Health Centre,617,,,,,,,,,,
Mashonaland Central,Centenary,Chidikamwedzi,326,,,,,,,,,,
Mashonaland Central,Centenary,Chinyani,545,,,,,,,,,,
Mashonaland Central,Centenary,Chiwenga,381,,,,,,,,,,
Mashonaland Central,Centenary,Dambakurima,219,,,,,,,,,,
Mashonaland Central,Centenary,David Nelson,1452,,,,,,,,,,
Mashonaland Central,Centenary,Hoya Rural Health Centre,459,,,,,,,,,,
Mashonaland Central,Centenary,Hwata,210,,,,,,,,,,
Mashonaland Central,Centenary,Kapembere,0,,,,,,,,,,
Mashonaland Central,Centenary,Machaya Rural Health Centre,335,,,,,,,,,,
Mashonaland Central,Centenary,Muzarabani Rural Health Centre,552,,,,,,,,,,
Mashonaland Central,Centenary,Nyamaridza,5,,,,,,,,,,
Mashonaland Central,Centenary,Range,73,,,,,,,,,,
Mashonaland Central,Centenary,St Albert's,1126,,,,,,,,,,
Mashonaland Central,Centenary,Utete,0,,,,,,,,,,
Mashonaland Central,Guruve,Bakasa,479,,,,,,,,,,
Mashonaland Central,Guruve,Bepura,1056,,,,,,,,,,
Mashonaland Central,Guruve,Birkdale,417,,,,,,,,,,
Mashonaland Central,Guruve,Brandon,404,,,,,,,,,,
Mashonaland Central,Guruve,Bvochora Rural Health Centre,237,,,,,,,,,,
Mashonaland Central,Guruve,Camsasa,299,,,,,,,,,,
Mashonaland Central,Guruve,Chipuriro,302,,,,,,,,,,
Mashonaland Central,Guruve,Gota,124,,,,,,,,,,
Mashonaland Central,Guruve,Guruve,1353,,,,,,,,,,
Mashonaland Central,Guruve,Guruve Centre Rural Health,996,,,,,,,,,,
Mashonaland Central,Guruve,Guruve ZPS,0,,,,,,,,,,
Mashonaland Central,Guruve,Guruve ZRP,0,,,,,,,,,,
Mashonaland Central,Guruve,Kachuta,484,,,,,,,,,,
Mashonaland Central,Guruve,Kemutamba,225,,,,,,,,,,
Mashonaland Central,Guruve,Matsvitsi,346,,,,,,,,,,
Mashonaland Central,Guruve,Mugarakamwe,378,,,,,,,,,,
Mashonaland Central,Guruve,Negomo Rural Health Centre,311,,,,,,,,,,
Mashonaland Central,Guruve,Nyakapupu,255,,,,,,,,,,
Mashonaland Central,Guruve,Nyamhondoro Rural Health Centre,584,,,,,,,,,,
Mashonaland Central,Guruve,Nyamupfuta,115,,,,,,,,,,
Mashonaland Central,Guruve,Ruyamuro,1595,,,,,,,,,,
Mashonaland Central,Guruve,Shinje Rural Health Centre,535,,,,,,,,,,
Mashonaland Central,Mazowe,Adura,663,,,,,,,,,,
Mashonaland Central,Mazowe,Bare,962,,,,,,,,,,
Mashonaland Central,Mazowe,Belgownie,663,,,,,,,,,,
Mashonaland Central,Mazowe,Chigwida,33,,,,,,,,,,
Mashonaland Central,Mazowe,Chinehasha Rural Health Centre,359,,,,,,,,,,
Mashonaland Central,Mazowe,Christon Bank,527,,,,,,,,,,
Mashonaland Central,Mazowe,Concession,2414,,,,,,,,,,
Mashonaland Central,Mazowe,Cranham,479,,,,,,,,,,
Mashonaland Central,Mazowe,Dambo,820,,,,,,,,,,
Mashonaland Central,Mazowe,Dandamera,502,,,,,,,,,,
Mashonaland Central,Mazowe,Dandamera CeSHHAR Sister's,0,,,,,,,,,,
Mashonaland Central,Mazowe,Davaar,509,,,,,,,,,,
Mashonaland Central,Mazowe,Donje,698,,,,,,,,,,
Mashonaland Central,Mazowe,Forrester,578,,,,,,,,,,
Mashonaland Central,Mazowe,Glendale Health Center,0,,,,,,,,,,
Mashonaland Central,Mazowe,Gombekombe,4,,,,,,,,,,
Mashonaland Central,Mazowe,Grace Mugabe Foundations,0,,,,,,,,,,
Mashonaland Central,Mazowe,Henderson,1020,,,,,,,,,,
Mashonaland Central,Mazowe,Holme Eden,465,,,,,,,,,,
Mashonaland Central,Mazowe,Horta,353,,,,,,,,,,
Mashonaland Central,Mazowe,Howard,2153,,,,,,,,,,
Mashonaland Central,Mazowe,Iron Duke,252,,,,,,,,,,
Mashonaland Central,Mazowe,Jingamvura,540,,,,,,,,,,
Mashonaland Central,Mazowe,Makope,550,,,,,,,,,,
Mashonaland Central,Mazowe,Maria Theresa,220,,,,,,,,,,
Mashonaland Central,Mazowe,Mazowe Citrus,461,,,,,,,,,,
Mashonaland Central,Mazowe,Mazowe Mine,512,,,,,,,,,,
Mashonaland Central,Mazowe,Mazowe Mine CeSHHAR Sister's,0,,,,,,,,,,
Mashonaland Central,Mazowe,Mazowe Secondary,100,,,,,,,,,,
Mashonaland Central,Mazowe,Montgomery Christian Care Centre,0,,,,,,,,,,
Mashonaland Central,Mazowe,Mukodzongi,0,,,,,,,,,,
Mashonaland Central,Mazowe,Muswenhede,22,,,,,,,,,,
Mashonaland Central,Mazowe,Mvurwi,2560,,,,,,,,,,
Mashonaland Central,Mazowe,Nyakudya Rural Health Centre,401,,,,,,,,,,
Mashonaland Central,Mazowe,Nzvimbo,1068,,,,,,,,,,
Mashonaland Central,Mazowe,Nzvimbo CeSHHAR Sister's,0,,,,,,,,,,
Mashonaland Central,Mazowe,Rosa Rural,2002,,,,,,,,,,
Mashonaland Central,Mazowe,Sandringham,152,,,,,,,,,,
Mashonaland Central,Mazowe,Shopo,236,,,,,,,,,,
Mashonaland Central,Mazowe,Shutu Rural Health Centre,490,,,,,,,,,,
Mashonaland Central,Mazowe,Storis,0,,,,,,,,,,
Mashonaland Central,Mazowe,Suoguru,1210,,,,,,,,,,
Mashonaland Central,Mazowe,Suoguru CeSHHAR Sister's,0,,,,,,,,,,
Mashonaland Central,Mazowe,Tsungubvi,2576,,,,,,,,,,
Mashonaland Central,Mazowe,Tsungubvi CeSHHAR Sister's,0,,,,,,,,,,
Mashonaland Central,Mazowe,Von Abo,366,,,,,,,,,,
Mashonaland Central,Mazowe,ZPS Mazowe Prison,225,,,,,,,,,,
Mashonaland Central,Mbire,Angwa,170,,,,,,,,,,
